FID,LSOA21CD,LSOA21NM,HSA,WDI,accessibility,score_perc
108,E01003961,Southwark 012B,0.415916399,1.220641437,0.33752978,0.508181818
109,E01003963,Southwark 016A,0.562930468,1.280000248,0.440431028,0.497704918
110,E01003972,Southwark 016D,0.39284011,1.097980647,0.355675025,0.532241379
111,E01003973,Southwark 016E,0.614926978,1.22772307,0.5011899,0.48972973
112,E01003975,Southwark 004A,0.378242034,1.314024391,0.284886715,0.526081081
113,E01003976,Southwark 036D,0.500736845,1.470259874,0.336122748,0.499655172
114,E01003979,Southwark 006E,0.38840632,1.338532008,0.289442054,0.506376812
115,E01003981,Southwark 006F,1.638968372,1.712529827,0.955283441,0.475483871
116,E01003994,Southwark 012E,0.586498912,1.284834134,0.457157853,0.505365854
117,E01003995,Southwark 014B,0.796496692,1.43886429,0.550034877,0.528484848
118,E01003997,Southwark 017E,0.52479172,1.268860717,0.41513924,0.499375
119,E01003998,Southwark 014D,0.465976708,1.376687153,0.33788466,0.503846154
120,E01003999,Southwark 014E,0.48456742,1.359904016,0.357427828,0.52975
121,E01004028,Southwark 004E,0.596719379,1.415141228,0.421177624,0.498
122,E01004208,Tower Hamlets 013C,2.689560006,1.612362389,1.6958401,0.483846154
123,E01004291,Tower Hamlets 027A,1.205822934,1.688407961,0.71371139,0.497777778
124,E01004292,Tower Hamlets 026A,0.757959338,1.739342811,0.439745675,0.478992248
125,E01004293,Tower Hamlets 027B,0.734399688,1.649409277,0.44550215,0.490408163
126,E01004295,Tower Hamlets 026C,1.165169619,1.590666222,0.740373475,0.477317073
127,E01004296,Tower Hamlets 026D,0.72112536,1.655867916,0.431746771,0.4688
128,E01004301,Tower Hamlets 025B,1.165504691,1.443335913,0.812659012,0.503478261
129,E01004304,Tower Hamlets 022C,2.127478323,1.358343996,1.573135673,0.473508772
130,E01004306,Tower Hamlets 015A,4.746469095,1.472589802,3.222107239,0.475
131,E01004307,Tower Hamlets 015B,5.718312082,1.498959864,3.83010153,0.477763975
132,E01004308,Tower Hamlets 015C,1.47924503,1.510720744,0.981136842,0.484634146
