FID,accessibility,WDI,HSA
325,0.366506261,1.653748106,0.606109035
326,0.434995928,1.722627616,0.749335997
327,0.461231062,1.706701066,0.787183546
328,0.449752349,1.676605668,0.754057337
329,0.435326912,1.652728253,0.719477087
330,0.7216737735000001,1.743289442,1.2578548595
331,0.670004976,1.749474564,1.172156664
332,0.580770657,1.743572721,1.012615874
333,0.522981783,1.776695675,0.929179471
334,0.58620868,1.791480161,1.050181221
335,0.45461140450000004,1.776245666,0.80771221375
336,0.5199992975000001,1.789869397,0.9306938515000001
337,0.8998944369999999,1.735406624,1.5599300710000001
338,0.673298652,1.773576754,1.194146837
339,0.8173905268333334,1.7685831145000002,1.4444629313333335
340,0.6784925417500001,1.7749801275000001,1.2042226105
341,0.671917817,1.789477469,1.2023426535
342,0.657567714,1.776558655,1.168207614
343,0.644210384,1.8044533134999998,1.162724986
344,0.683391978,1.799874018,1.230019465
345,0.5328507060000001,1.7575824705,0.9361495774999999
346,0.951117475,1.7373665845000001,1.6510052405
347,1.0476024385,1.7339010605,1.815252619
348,0.632566723,1.756110801,1.110857255
349,0.610405886,1.742235807,1.063470991
350,0.6747012845,1.7546205929999998,1.1836444805
351,0.5606505724999999,1.7902337725000002,1.0033517035
352,0.506672888,1.789135004,0.9065062
353,0.655261329,1.745767979,1.143934247
354,0.719113336,1.749016377,1.257741002
355,1.2814261865,1.6822516639999998,2.1555465959999998
356,1.34896084675,1.6874924557500002,2.2757845345
357,1.063942681,1.6924880820000001,1.800687381
358,1.098020264,1.696859074,1.863185648
359,1.096925087,1.706015225,1.871370899
360,1.029696508,1.720173261,1.771256401
361,0.84807359,1.720173261,1.458833513
362,0.8351683514999999,1.7236361924999999,1.4394569339999999
363,0.811937476,1.728108992,1.403116453
364,0.7151935105,1.7651290469999998,1.2617792620000001
365,0.670696652,1.767653087,1.185559008
366,0.76285676,1.76885627,1.349383962
367,0.707923384,1.76885627,1.252214717
368,4.502744001333333,1.762327351952381,7.935368074261905
369,4.5877159013333335,1.7611546948333334,8.080428655583333
370,4.018501087,1.765788469867647,7.100178227955882
371,4.597048819533333,1.7541379679,8.0650751622
372,2.46481786,1.726869577,4.2570283195
373,1.662038612,1.759696421,2.924683397
374,1.6720175099999999,1.7810574705,2.979535217
