FID,accessibility,WDI,HSA
147,1.650103897,1.156621771,1.908546092
147,1.693147267,1.17238627,1.98502261
147,1.691418814,1.17238627,1.982996196
147,1.741615345,1.169557658,2.036919564
148,1.71123783,1.156621771,1.97925493
148,1.713583659,1.156621771,1.981968167
148,1.602869698,1.153832935,1.849443848
148,1.712194538,1.156621771,1.98036148
148,1.499412375,1.197677407,1.795812325
148,1.499242985,1.153832935,1.729875934
148,1.352633441,1.125268522,1.522075833
148,1.494886093,1.153832935,1.724848808
149,1.717465993,1.159266103,1.991000108
150,1.709060157,1.159266103,1.981255508
151,1.738278419,1.139236503,1.980310227
152,1.851670827,1.157438687,2.143195451
152,1.865793081,1.157438687,2.159541094
153,1.571747052,1.156140836,1.817160952
153,1.610657918,1.184207103,1.907352548
154,1.515992516,1.156140836,1.752700855
154,1.519924344,1.156140836,1.757246602
155,1.704080269,1.141394472,1.945027799
156,1.745158024,1.175149738,2.050821996
156,1.716262191,1.173218268,2.013550154
157,1.461886693,1.158232166,1.693204191
158,1.626515628,1.225890808,1.993930558
158,1.537642235,1.225890808,1.884981482
158,1.695992046,1.176849844,1.995927975
158,1.688089197,1.178294952,1.98906698
159,1.816574552,1.195370507,2.171479644
159,1.582499793,1.211619956,1.91738833
160,1.25496332,1.147594384,1.440188858
160,1.447240322,1.156140836,1.673213636
160,1.202447337,1.147594384,1.37992181
160,1.195291363,1.147594384,1.371709654
160,0.8655754,1.162723787,1.006425107
160,1.136989085,1.174360165,1.335234689
160,0.858407767,1.165740593,1.000680779
160,0.855147191,1.165740593,0.996879794
161,1.811410958,1.195128081,2.164868103
161,1.987757336,1.192439464,2.370280292
161,1.794913821,1.178837419,2.115911576
161,2.092184995,1.190162339,2.490039787
161,2.008130717,1.16537543,2.340226197
161,2.048631838,1.190162339,2.43820446
162,1.663366531,1.181341503,1.965003919
163,1.934670077,1.191096493,2.304378744
163,1.901559706,1.146150319,2.179473264
164,1.836355076,1.178837419,2.164764078
165,1.766577465,1.174874592,2.075506978
165,1.767224484,1.177050254,2.080112028
166,1.85555969,1.146150319,2.126750331
166,1.883099666,1.191096493,2.242953409
167,1.588967184,1.218437023,1.936056445
167,1.5831228,1.218437023,1.928935431
167,1.639035637,1.208510901,1.980792434
167,1.631658101,1.208510901,1.971876602
168,1.542535777,1.217371303,1.87783879
168,1.54290834,1.214364499,1.873653113
168,1.563809732,1.181341503,1.84739334
168,1.563503185,1.181341503,1.847031204
168,1.566516981,1.181341503,1.850591526
168,1.597075423,1.181341503,1.886691481
169,1.876606413,1.146150319,2.150873039
169,1.92687892,1.144487992,2.205289785
169,1.862240652,1.160673433,2.16145325
169,1.814165951,1.163486718,2.110757988
170,1.948674664,1.146150319,2.233474088
170,1.950308329,1.146150319,2.235346513
170,1.875553239,1.146150319,2.149665943
170,1.836366773,1.146150319,2.104752363
171,1.912609491,1.157438687,2.213728218
171,1.816927483,1.15523428,2.098976913
171,1.853022715,1.15523428,2.140675362
171,1.739900344,1.17238627,2.039835276
171,1.798314299,1.163486718,2.0923148
171,1.832844559,1.163486718,2.132490299
172,1.911592202,1.157438687,2.212550769
172,1.91826057,1.157438687,2.220268996
172,1.933268331,1.157438687,2.237639559
172,1.898832004,1.157438687,2.197781622
172,1.850867544,1.148332685,2.125411696
172,1.896860581,1.148332685,2.178227004
173,1.577656247,1.210613262,1.909931575
173,1.632860817,1.185306028,1.935439768
174,1.640915764,1.255907794,2.060838898
174,1.651988083,1.255907794,2.074744709
174,1.82171421,1.245268576,2.26852346
174,1.863246693,1.195957587,2.228364019
174,1.867655624,1.195957587,2.233636913
174,1.960744069,1.155005155,2.264669507
175,1.396212069,1.251396197,1.747214474
175,1.57844101,1.25846057,1.986405773
175,1.437868838,1.251396197,1.799343596
175,1.312572698,1.340666517,1.759722267
175,1.39408937,1.263284123,1.761130967
175,1.314915779,1.340666517,1.762863557
176,1.518146944,1.285857943,1.952121306
176,1.569539098,1.25846057,1.975203069
177,1.422709149,1.265730459,1.800766305
177,1.420125718,1.265730459,1.797496377
177,1.458729469,1.251396197,1.825448511
177,1.540061544,1.293309754,1.991776616
177,1.311116708,1.340666517,1.757770269
177,1.305731588,1.340666517,1.750550619
177,1.352426777,1.295548499,1.75213448
177,1.40587164,1.292257406,1.816748039
178,1.545977043,1.228192874,1.898757988
178,1.592997067,1.18455002,1.886984706
178,1.549650231,1.228030587,1.903017883
178,1.523148496,1.238433802,1.886318583
178,1.574283866,1.238433802,1.949646352
178,1.530666601,1.238433802,1.895629257
179,1.15998201,1.431925352,1.661007649
180,1.116338063,1.33399426,1.489188568
180,1.109501846,1.361912993,1.51104498
180,1.095375202,1.369660906,1.500292592
180,1.280886192,1.322989732,1.694599279
180,1.267889806,1.349259689,1.710712605
180,1.257775643,1.349259689,1.697065973
181,0.499720457,1.688744866,0.843900357
181,0.494268013,1.667646219,0.824264182
182,0.505109797,1.68946329,0.85336446
182,0.510062669,1.620693219,0.826655109
183,0.503816784,1.708278946,0.860659605
184,0.509573603,1.683908433,0.858075288
185,0.606199629,1.748442388,1.059905127
185,0.555893492,1.752772862,0.974355026
185,0.51640568,1.708535224,0.882297294
185,0.513225883,1.671249381,0.857728439
186,0.643932883,1.798622872,1.158192411
186,0.541215314,1.698609077,0.919313244
187,0.46168846,1.728514726,0.798035302
187,0.493583481,1.68024039,0.8293389
187,0.258613377,1.694560226,0.438235943
187,0.309390403,1.732454667,0.536004847
188,0.517999129,1.753009015,0.908057143
188,0.527383825,1.711261136,0.902491444
189,0.624278573,1.760108118,1.098797785
190,0.53614017,1.790128188,0.959759631
190,0.519569255,1.767462743,0.918319301
191,0.622881312,1.805822561,1.124813125
192,0.763603924,1.800583187,1.374932387
193,0.706536267,1.754597309,1.239686633
193,0.695674427,1.696384231,1.180131128
194,0.410094528,1.698865241,0.69669534
195,0.457818371,1.754833297,0.80339492
196,0.526222851,1.805569112,0.950131727
197,0.552270885,1.805054101,0.996878825
198,0.715258024,1.792516053,1.282111491
199,0.610296051,1.779317491,1.085910438
200,0.741581176,1.769092223,1.31192549
201,0.739296122,1.763598338,1.303821411
202,0.717576785,1.772179334,1.271674749
202,0.731744175,1.769092223,1.29452293
203,0.677961911,1.795268068,1.217123369
203,0.677564651,1.795268068,1.216410182
203,0.684873869,1.797216066,1.230866321
203,0.68885066,1.800346061,1.240169572
204,0.696071985,1.801026616,1.253644171
204,0.696658309,1.801026616,1.254700157
204,0.706798685,1.801026616,1.272963245
204,0.70752157,1.801026616,1.274265179
205,0.664008622,1.783173701,1.184042711
205,0.673170434,1.799761021,1.211545909
206,0.677956341,1.78872193,1.212675376
206,0.665595012,1.78732186,1.189632515
207,0.599148374,1.78995042,1.072445883
208,0.680986882,1.811443388,1.233569185
208,0.704486991,1.822962828,1.284253598
209,0.62517833,1.786930542,1.117150251
210,0.606911651,1.797731485,1.091064184
211,0.64796318,1.835076171,1.189061792
211,0.65217895,1.814723249,1.183524302
211,0.640552033,1.796937783,1.151032151
211,0.666774885,1.806717698,1.204673985
211,0.673696712,1.806717698,1.217179773
211,0.665135102,1.814723249,1.207036133
212,0.537419376,1.763500911,0.94773956
212,0.494218081,1.784957089,0.882158068
213,0.589364567,1.774951034,1.046093248
214,0.540350561,1.764471608,0.953433223
214,0.559121028,1.775535367,0.99273916
215,0.692102935,1.7910365,1.239581618
215,0.701073185,1.759056531,1.233227364
216,0.692316803,1.801835796,1.247441198
217,0.692816958,1.778981096,1.232508272
218,0.772067695,1.800115711,1.389811188
218,0.722600368,1.788653479,1.292481661
219,0.693573884,1.796083896,1.245716883
220,0.678092782,1.803023492,1.222617216
220,0.689075138,1.784562072,1.229697357
221,0.618483162,1.819524575,1.125345312
222,0.570583456,1.790268835,1.02149778
223,0.587169896,1.817775333,1.067342953
224,0.690652417,1.812227077,1.251619011
225,0.674311881,1.820732949,1.22774186
226,0.677732142,1.817068589,1.231485787
227,0.696294811,1.800574337,1.253730567
227,0.694318499,1.806085336,1.253998459
228,0.694906591,1.795101649,1.247427967
229,0.704859358,1.816708283,1.280523835
230,0.727885444,1.832203806,1.333634481
231,0.728897271,1.82115673,1.32743617
232,0.660842844,1.779317574,1.175849286
233,0.701678229,1.76943347,1.241572943
234,0.713183668,1.770701298,1.262835248
235,0.766850974,1.781049286,1.36579938
236,0.678817081,1.773978353,1.204206807
237,0.706395068,1.761455328,1.244283356
238,0.730276403,1.751394317,1.279001942
239,1.3532815,1.806281777,2.444407713
239,1.352799693,1.806281777,2.443537435
239,1.309985153,1.808834148,2.369545879
239,1.170504204,1.822643107,2.133411419
239,1.173237933,1.822643107,2.138394031
239,1.263649037,1.808834148,2.28573153
239,1.38556016,1.790147521,2.480357084
239,1.385105185,1.790147521,2.479542613
239,1.379858975,1.790147521,2.470151123
239,1.358711014,1.791635536,2.434314937
239,1.363846031,1.783695301,2.432685757
239,1.373259909,1.790147521,2.458337822
240,1.267346629,1.797667166,2.278267424
240,1.271571038,1.797667166,2.285861505
240,1.271463582,1.792409816,2.278983804
240,1.217562796,1.818872869,2.214591936
240,1.263004005,1.806872815,2.282087602
240,1.261728707,1.802561037,2.274343006
241,1.182986437,1.832711714,2.168073101
241,1.185387845,1.823551199,2.161615426
241,1.178416856,1.839223539,2.16737202
241,1.193713735,1.82034291,2.172968334
241,1.130775591,1.84088459,2.081627361
241,1.135217653,1.831465852,2.079112366
241,1.126747331,1.824428289,2.055669705
241,1.148745764,1.832367405,2.104924296
242,1.326704359,1.80622544,2.396327164
243,1.296816074,1.827073881,2.369378778
243,1.287516862,1.836448428,2.364458317
243,1.241642976,1.832555572,2.275379754
243,1.193763779,1.829380441,2.18384811
244,1.291854223,1.833875445,2.369099738
245,1.474344263,1.774410514,2.616091962
245,1.49407531,1.763419179,2.634681056
246,1.494434855,1.775481271,2.653341096
246,1.474165418,1.778560574,2.621892492
246,1.47467421,1.778560574,2.622797409
246,1.466761344,1.778560574,2.608723899
246,1.405154748,1.783795808,2.50650915
246,1.405355693,1.783795808,2.506867594
247,1.407553725,1.793662309,2.524676065
248,1.281196743,1.811686205,2.321126465
248,1.236208301,1.818483244,2.248024082
249,0.763523395,1.797819918,1.372677568
250,1.035634096,1.810286077,1.874793985
251,1.169091553,1.839223539,2.150220703
251,1.142461041,1.789472382,2.044402481
252,0.998368934,1.816494695,1.813531873
253,0.962594046,1.792883401,1.725818887
254,1.04820459,1.794735026,1.881249493
254,1.087311375,1.839223539,1.999808675
255,1.030373975,1.820070016,1.875352777
256,0.592728836,1.82707375,1.082959297
257,0.610865199,1.832940861,1.119679784
258,0.305376547,1.034180507,0.315814472
259,0.309937865,1.03075529,0.319470094
260,0.369463451,1.096926704,0.405274326
261,0.391454081,1.053813492,0.412519592
262,0.75862148,1.13883927,0.863947933
263,0.357607593,1.118542862,0.399999421
263,0.634524926,1.158567134,0.735139725
263,0.266636285,1.234406421,0.329137542
263,0.348273736,1.164896325,0.405702795
264,0.514037241,1.079060151,0.554677103
265,0.46136355,1.066354183,0.491976951
266,0.69733723,1.074182645,0.74906755
267,0.801908542,1.126933877,0.903697902
267,0.903689192,1.128430915,1.019750822
268,0.844023374,1.171965507,0.989166282
268,0.847841968,1.165740593,0.988363798
268,0.847137857,1.165740593,0.987542988
268,0.788737109,1.170904277,0.923535654
268,0.793521518,1.170904277,0.92913774
268,0.792654971,1.170904277,0.928123095
269,1.197821832,1.049635954,1.257276862
269,1.340650443,1.036818035,1.390010558
269,1.362573965,1.079055971,1.470293572
269,1.287151361,1.072467121,1.380427514
270,1.315984637,1.080511394,1.421936395
270,1.316775892,1.080511394,1.422791355
270,1.272017828,1.049635954,1.335155647
270,1.312247641,1.049635954,1.377382305
271,1.312845269,1.066388461,1.400003046
272,1.269744883,1.049635954,1.332769882
272,1.283839154,1.049635954,1.347563735
272,1.29988329,1.049635954,1.364404237
272,1.328100361,1.049635954,1.39402189
272,1.345068455,1.080511394,1.453361792
272,1.360470992,1.083173974,1.473626771
273,1.321776145,1.083173974,1.43171352
273,1.329520883,1.083173974,1.440102418
273,1.358473109,1.083173974,1.471462716
273,1.464202795,1.083173974,1.58598636
273,1.472547359,1.083173974,1.595024974
273,1.501322631,1.083173974,1.626193601
274,1.35167712,1.066388461,1.441412884
274,1.352878466,1.066388461,1.442693986
275,1.033757715,1.078034233,1.114426206
275,1.10482954,1.111572253,1.228097861
276,1.014084039,1.078034233,1.093217309
277,1.213949938,1.1190604,1.358483303
277,1.237994441,1.122214806,1.389295691
277,1.086695926,1.078034233,1.171495409
277,1.157225956,1.122214806,1.298656102
278,1.287698156,1.1190604,1.441012014
278,1.320986305,1.111572253,1.468371723
278,1.319428646,1.111572253,1.466640273
278,1.319487512,1.111572253,1.466705706
278,1.319719559,1.111572253,1.466963643
278,1.307073509,1.066388461,1.393848108
278,1.307421922,1.066388461,1.394219651
278,1.308030797,1.066388461,1.394868949
278,1.307934279,1.066388461,1.394766023
278,1.307581108,1.066388461,1.394389405
279,1.636802694,1.072467121,1.755417073
279,1.637996906,1.072467121,1.756697827
279,1.638040682,1.072467121,1.756744775
279,1.618076436,1.075056439,1.739523491
279,1.65972053,1.075056439,1.784293242
279,1.659767062,1.075056439,1.784343267
280,1.699464841,1.072467121,1.822620165
280,1.654393835,1.072467121,1.774282994
281,1.664601358,1.072467121,1.785230227
281,1.665018299,1.072467121,1.785677382
281,1.661005006,1.072467121,1.781373257
281,1.683581212,1.158700275,1.950766013
281,1.684254858,1.158700275,1.951546567
281,1.676158861,1.105639655,1.853227704
282,1.762598134,1.103085321,1.944296129
282,1.759896512,1.103085321,1.941316009
282,1.762598134,1.103085321,1.944296129
282,1.718322599,1.072467121,1.842844491
282,1.716643909,1.072467121,1.841044152
282,1.718322599,1.072467121,1.842844491
283,1.792101705,1.102989233,1.976668886
283,1.79758672,1.100383988,1.978035643
284,1.812688179,1.108322849,2.009043727
284,1.857985058,1.108322849,2.059247293
284,1.857985058,1.108322849,2.059247293
284,1.906626566,1.108322849,2.113157788
284,1.793963245,1.103085321,1.978894522
284,1.799394517,1.103085321,1.984885678
284,1.799394517,1.103085321,1.984885678
284,1.808110893,1.108322849,2.003970617
285,1.885964455,1.108322849,2.090257498
285,1.819875686,1.115017545,2.02919332
286,2.020917487,1.108322849,2.239829027
287,1.89112351,1.152087635,2.178740011
287,1.890065441,1.152087635,2.177521024
287,1.89112351,1.152087635,2.178740011
287,1.794996831,1.067875962,1.916833968
287,1.79407957,1.067875962,1.915854448
287,1.794996831,1.067875962,1.916833968
288,2.005320028,1.150437157,2.306994672
288,1.950863333,1.147346667,2.238316543
288,1.946685781,1.144322858,2.227637037
288,2.015420787,1.149128649,2.315977767
289,1.967215317,1.16537543,2.292544396
290,1.672208769,1.067875962,1.785711548
290,1.660214365,1.07061943,1.777457757
290,1.675798213,1.067875962,1.789544629
290,1.667071973,1.067875962,1.780226088
290,1.535626888,1.07061943,1.644071984
290,1.438525797,1.083173974,1.558173704
290,1.540366263,1.07061943,1.649146051
290,1.488400256,1.07061943,1.593510234
291,1.558450979,1.083173974,1.68807354
291,1.390859988,1.083173974,1.50654334
292,1.793667313,1.171392021,2.101087579
292,1.7887062,1.171392021,2.095276171
292,1.804746978,1.169557658,2.110755649
292,1.666247224,1.127267591,1.878306494
292,1.576364767,1.083173974,1.707477289
292,1.672996927,1.12428627,1.880927474
293,1.886516553,1.157729002,2.184074927
293,1.920862332,1.157729002,2.223838031
293,1.926178131,1.157729002,2.229992286
293,1.911212136,1.169557658,2.23527279
293,1.827170752,1.169557658,2.136981546
293,1.911031356,1.169557658,2.235061357
294,1.887616834,1.157729002,2.185348753
294,1.887609139,1.157729002,2.185339845
294,1.948227584,1.156524099,2.253172151
294,1.94878257,1.156524099,2.253814006
295,1.549709558,1.193353412,1.849351188
295,1.560768992,1.193353412,1.862549001
295,1.552108749,1.193353412,1.85221427
295,1.552402649,1.193353412,1.852564997
295,1.424223029,1.150328622,1.638324514
295,1.430912147,1.150328622,1.646019198
295,1.425917629,1.150328622,1.640273861
295,1.426126997,1.150328622,1.640514703
296,1.752424129,1.168614049,2.047907456
297,1.685591148,1.224711839,2.064363435
298,1.606275052,1.182025769,1.898658504
298,1.609642722,1.182025769,1.902639176
299,1.591930379,1.212116031,1.929604333
299,1.563757376,1.280840235,2.002923365
300,1.807685056,1.158700275,2.094565171
300,1.746772992,1.159765419,2.02584691
301,1.760274546,1.159765419,2.041505546
301,1.714426536,1.216487514,2.085578476
302,1.551877075,1.322413991,2.052223956
302,1.472038057,1.320116341,1.943261494
302,1.553968597,1.283100471,1.993897838
302,1.551730773,1.322413991,2.052030484
303,1.270943026,1.363418797,1.732827611
303,1.365951081,1.375370674,1.878689059
303,1.314483695,1.388040365,1.824556427
303,0.942530664,1.316402666,1.240749879
303,1.045813057,1.324762297,1.385453708
303,0.946048528,1.324762297,1.253289421
304,1.624689309,1.197132545,1.944968447
305,1.7128123,1.182025769,2.024588276
305,1.691459257,1.212116031,2.050244882
305,1.83066172,1.224711839,2.242033082
305,1.711456236,1.182025769,2.022985373
