FID,OBJECTID,grid_id,borough,laei_zone,Area,CO2_km2,NOx_km2,PM10_km2,PM25_km2,score_perc,accessibility,WDI,HSA
43,3376,3376,Southwark,Inner,0.994284781,74560.66322,214.2662783,22.81211793,11.91850759,0.503873745,0.425797857,1.291034722,0.556880919
13,3146,3146,Kensington and Chelsea,Inner,0.448362444,68076.1278,207.3303422,22.64792023,12.27536304,0.521643192,0.461990776,1.035890959,0.473662351
87,3420,3420,Camden,Inner,0.349963729,71399.04344,205.3891979,22.91570875,12.29432304,0.551638655,0.431438117,1.442938422,0.621939303
22,3274,3274,Camden,Inner,0.786830425,74887.95418,205.3686415,21.91164655,11.77474207,0.514848485,0.889390812,1.654943397,1.494775973
112,3445,3445,Islington,Inner,0.686836063,69024.06701,203.4634264,22.17124961,11.82970461,0.519639423,0.90688982,1.756295697,1.592170729
107,3440,3440,Islington,Central,0.114672927,58346.71869,200.0043298,18.78193825,10.86312509,0.495588235,2.627450588,1.498517463,3.919602283
56,3389,3389,Camden,Central,0.401542609,64916.19024,198.309799,18.81111629,11.11523789,0.531168831,1.7034911,1.457775565,2.446516677
8,2979,2979,City of Westminster,Inner,0.276056554,57362.29728,196.5889081,20.14921203,10.96114179,0.52,0.860018507,0.797388542,0.674696076
58,3391,3391,Islington,Central,0.922930247,63635.7764,196.2022105,20.07690049,11.14041108,0.527029973,1.572081707,1.619292443,2.511647818
26,3305,3305,Kensington and Chelsea,Inner,1.000399259,62502.33684,192.8140904,18.84679818,10.31070513,0.523755274,0.416795082,1.168904022,0.484590083
14,3147,3147,City of Westminster,Inner,0.552030645,64813.20179,191.6823257,20.07902989,10.79517341,0.563103448,0.320397026,1.222572897,0.416276848
118,3451,3451,City of Westminster,Central,0.97698497,53982.65059,188.2613765,17.16899051,9.91407925,0.528632163,0.831518729,1.51680827,1.270153475
7,2978,2978,Kensington and Chelsea,Inner,0.7243435,62322.74462,186.6974345,19.05475557,10.21133106,0.522379182,0.684740944,1.244520635,0.86848118
72,3405,3405,City of Westminster,Central,0.080435929,58986.83417,176.3182774,19.07052636,11.45275212,0.526666667,1.27312758,1.340860357,1.714919245
78,3411,3411,Southwark,Central,0.390173132,52569.68769,175.0666462,16.95283196,9.893465327,0.486419214,0.960869306,1.730752515,1.684894535
111,3444,3444,Southwark,Central,0.981346161,56178.10056,172.4977963,17.42124838,9.380671298,0.515448113,0.648943692,1.638597,1.090705956
74,3407,3407,Camden,Central,0.780739607,57273.42487,170.6995236,18.57992569,10.45531845,0.531971831,1.149754482,1.566624669,1.785246895
94,3427,3427,Lambeth,Central,0.285480337,52577.99057,169.1412159,15.88441652,8.939477488,0.485690608,1.15838888,1.73591647,2.016721979
103,3436,3436,City of Westminster,Central,0.304668647,50996.30761,157.8841709,16.21374578,9.066255663,0.5325,0.394679463,1.425968719,0.566676957
76,3409,3409,Islington,Central,0.656864795,49609.74867,154.774016,15.74256874,8.856990517,0.505686275,0.898443371,1.715959772,1.530803667
