FID,CO2_km2,NOx_km2,PM10_km2,PM25_km2,Shape_Area,score_perc,accessibility,WDI,HSA
13,68118.46828,207.4592929,22.66200628,12.2829978,0.448083755,0.521643192,0.461990776,1.035890959,0.473662351
25,73832.53586,216.2236964,22.74244928,12.09669083,0.999784655,0.493136594,1.578506874,1.472621109,2.29520969
43,74603.03797,214.3880513,22.82508264,11.92528119,0.993720024,0.503873745,0.425797857,1.291034722,0.556880919
112,69062.24389,203.575961,22.18351242,11.83624756,0.686456387,0.519639423,0.90688982,1.756295697,1.592170729
22,74930.10996,205.4842472,21.92398102,11.78137029,0.786387753,0.514848485,0.889390812,1.654943397,1.494775973
65,71947.80297,235.107258,22.11407738,11.70472388,0.985528012,0.530345679,0.210724232,1.069276904,0.239832861
72,59029.32108,176.4452756,19.08426244,11.46100129,0.080378034,0.526666667,1.27312758,1.340860357,1.714919245
58,63671.29816,196.3117314,20.0881075,11.14662971,0.922415351,0.527029973,1.572081707,1.619292443,2.511647818
56,64955.35458,198.4294405,18.82246515,11.12194378,0.401300502,0.531168831,1.7034911,1.457775565,2.446516677
8,57395.82792,196.7038225,20.16099008,10.96754904,0.275895282,0.52,0.860018507,0.797388542,0.674696076
107,58377.97443,200.1114701,18.79199954,10.86894436,0.114611531,0.495588235,2.627450588,1.498517463,3.919602283
14,64849.86997,191.7907702,20.09038963,10.8012808,0.551718509,0.563103448,0.320397026,1.222572897,0.416276848
74,57306.98844,170.7995575,18.59081395,10.46144551,0.780282343,0.531971831,1.149754482,1.566624669,1.785246895
26,62539.63395,192.9291486,18.85804466,10.31685785,0.999802645,0.523755274,0.416795082,1.168904022,0.484590083
7,62361.18595,186.8125914,19.06650875,10.21762952,0.723896993,0.522379182,0.684740944,1.244520635,0.86848118
118,54013.30593,188.3682852,17.17874034,9.919709196,0.976430481,0.528632163,0.831518729,1.51680827,1.270153475
78,52599.29635,175.1652485,16.96238025,9.899037593,0.3899535,0.486419214,0.960869306,1.730752515,1.684894535
111,56208.33193,172.5906233,17.43062335,9.385719358,0.980818349,0.515448113,0.648943692,1.638597,1.090705956
