FID,TARGET_FID,score_perc,accessibility,WDI,HSA
17267,78,0.6,1.619080873,1.83537607,2.97162229
17268,78,0.6,1.447316387,1.839222316,2.661936598
17269,78,0.59,1.394999386,1.847523652,2.577294359
17270,78,0.52,1.312015718,1.831814022,2.403481031
17271,78,0.34,1.080118927,1.767590136,1.909207562
17272,78,0.48,1.137932296,1.781432761,2.027061287
17273,78,0.5,1.116929354,1.796366419,2.006764783
17274,78,0.52,1.205185435,1.768951389,2.13191445
17275,78,0.42,1.225786812,1.81021419,2.219129826
17276,78,0.39,0.991057039,1.774879258,1.759006581
17277,78,0.63,1.649511221,1.874030731,3.090920548
17278,78,0.6,1.572450921,1.879205098,2.954881141
17279,78,0.64,1.744968596,1.856958518,3.240590521
17280,78,0.59,1.629809619,1.879364776,3.062969042
17281,78,0.64,1.72280389,1.877543009,3.234090618
17282,78,0.62,1.824812665,1.845491278,3.367576103
17283,78,0.4,1.554233709,1.843648384,2.864436108
17284,78,0.45,1.309752754,1.830367361,2.396521517
17285,78,0.5,1.024551284,1.690911301,1.733582623
17286,78,0.33,0.94023102,1.752343478,1.647607696
17287,78,0.38,1.111650216,1.736586842,1.930584373
17288,78,0.36,0.879526478,1.767784843,1.554813577
17289,78,0.58,0.935763102,1.766433925,1.65296369
17290,78,0.52,0.928809863,1.776053033,1.649615574
17291,78,0.51,1.098235047,1.761789047,1.934858477
17292,78,0.54,0.86687386,1.774473532,1.538244721
17293,78,0.4,1.031858102,1.771584838,1.82802417
17294,78,0.31,0.937495037,1.756711218,1.646908048
17295,78,0.51,0.965600825,1.751984239,1.691717426
17296,78,0.39,0.982844091,1.775527063,1.745066283
17297,78,0.34,0.974060173,1.744511629,1.699259299
17298,78,0.45,0.943638859,1.760405445,1.661186986
17299,78,0.57,1.070007645,1.646736945,1.762184869
17300,78,0.58,1.216561282,1.64565376,2.002038647
17301,78,0.58,0.964409761,1.674177448,1.614593073
17302,78,0.52,0.914588326,1.680633681,1.537087945
17303,78,0.47,0.943958001,1.72057219,1.624147886
17304,78,0.5,1.07221906,1.71468243,1.838515183
17305,78,0.38,0.933489564,1.733931129,1.618606614
17306,78,0.49,0.936322937,1.728330932,1.618275894
17307,78,0.5,0.980214523,1.719163508,1.685149037
17308,78,0.47,1.078823644,1.761783415,1.900664638
17309,78,0.42,0.971643608,1.729037017,1.680007766
17310,78,0.44,0.954740326,1.754472917,1.675066045
17311,78,0.45,1.029748912,1.778520606,1.83142966
17312,78,0.36,0.903521981,1.736661337,1.569111692
17313,78,0.55,0.898631446,1.70235132,1.529786428
17314,78,0.39,0.938485294,1.721647565,1.615740921
17315,78,0.47,1.129833621,1.72817939,1.95258964
17316,78,0.57,1.081059046,1.710472554,1.849121828
17317,78,0.47,1.078321297,1.73855775,1.87475385
17318,78,0.58,1.108127673,1.755330667,1.945130487
17319,78,0.52,1.08402994,1.755496526,1.903010794
17320,78,0.46,1.133771752,1.790037916,2.029494424
17321,78,0.47,1.156279856,1.767725799,2.043985731
17322,78,0.34,1.258687437,1.813904228,2.283138464
17323,78,0.58,1.222563721,1.664522669,2.03496761
17324,78,0.52,1.212703871,1.66180016,2.01528119
17325,78,0.35,1.202231684,1.68926161,2.030770074
17326,78,0.46,1.231758651,1.68914302,2.080075567
17327,78,0.59,1.190512483,1.717648675,2.044255811
17328,78,0.36,1.244216023,1.812467947,2.255101661
17329,78,0.44,0.999624797,1.837677797,1.836988295
17330,78,0.39,1.206608762,1.810650361,2.18474659
17331,78,0.38,1.222448825,1.819892983,2.224726039
17332,78,0.32,1.140108201,1.766946928,2.014518448
17333,78,0.52,1.081603273,1.76719719,1.911406264
17334,78,0.5,1.180700553,1.772085587,2.092294081
17335,78,0.49,1.138014056,1.770102094,2.014330332
17336,78,0.39,0.858832728,1.756105728,1.508201072
17337,78,0.42,0.827171493,1.774398541,1.466173337
17338,78,0.48,0.913543023,1.765657908,1.613004463
17339,78,0.48,0.95161808,1.739035268,1.654897404
17340,78,0.47,0.899172175,1.821648583,1.636922601
17341,78,0.39,1.07858507,1.857216038,2.003165491
17342,79,0.48,1.308424372,1.668076415,2.18261909
17343,79,0.42,1.166304105,1.638467102,1.910950907
17344,79,0.39,1.382437689,1.650010385,2.281054548
17345,79,0.5,0.511871193,1.57074636,0.803525497
17346,79,0.44,0.615889682,1.599606215,0.985180962
17347,79,0.43,0.714634315,1.5816734,1.130318087
17348,79,0.46,0.915446875,1.63106555,1.493153861
17349,79,0.38,0.946780184,1.635495932,1.548455139
17350,79,0.46,1.089094089,1.651876531,1.799048966
17351,79,0.42,1.248702392,1.661978589,2.075312918
17352,79,0.48,0.537682273,1.542614352,0.830078811
17353,79,0.37,0.687802434,1.557591478,1.07131521
17354,79,0.43,0.811597109,1.583022781,1.285883473
17355,79,0.41,0.877759597,1.592462627,1.397799355
17356,79,0.5,0.686874724,1.561117259,1.072405975
17357,79,0.46,0.798770331,1.556027809,1.243124729
17358,79,0.5,0.912821231,1.585516928,1.447293515
17359,79,0.53,1.191826657,1.640185041,1.956693989
17360,79,0.58,0.462445653,1.599692436,0.739770814
17361,79,0.58,0.448811928,1.591334302,0.714156392
17362,79,0.62,0.433390568,1.529633748,0.662934897
17363,80,0.58,1.10254001,1.624675907,1.79129275
17364,80,0.56,0.764340322,1.6600488,1.268842234
17365,80,0.41,0.753303476,1.649009098,1.242119856
17366,80,0.45,0.761812263,1.665497036,1.268882227
17367,80,0.56,0.734070305,1.643897776,1.206736541
17368,80,0.58,0.755761101,1.654134594,1.250157387
17369,80,0.59,0.802261044,1.653832524,1.326801654
17370,80,0.44,0.853027004,1.679305771,1.433340966
17371,80,0.29,0.774600347,1.60432855,1.242713451
17372,80,0.48,0.84983384,1.617387774,1.374510862
17373,80,0.37,0.718890276,1.763458611,1.267733247
17374,80,0.52,0.907783601,1.719546137,1.559838374
17375,80,0.57,0.998832464,1.686877123,1.684907634
17376,80,0.44,1.042159648,1.64818286,1.717741081
17377,80,0.54,1.062151325,1.646125769,1.748407483
17378,80,0.46,0.588607255,1.655827943,0.97463234
17379,80,0.35,0.810886688,1.648681022,1.336893494
17380,80,0.53,0.677157779,1.654392556,1.118818919
17381,80,0.46,0.595252109,1.705366565,1.015123046
17382,80,0.6,0.443583658,1.751668956,0.777011723
17383,80,0.54,0.537414178,1.722218881,0.925544844
17384,81,0.38,1.568322389,1.519117567,2.382391196
17385,81,0.5,1.485292782,1.526248693,2.266926168
17386,81,0.38,1.511700997,1.513183889,2.287481593
17387,81,0.39,1.559565702,1.53551025,2.394729121
17388,81,0.55,1.563185175,1.533101941,2.396860639
17389,81,0.46,1.052516821,1.479373745,1.557065751
17390,81,0.35,1.384927464,1.53224317,2.122295646
17391,81,0.5,0.800610074,1.524353038,1.220412398
17392,81,0.5,0.812026402,1.54732117,1.25646112
17393,81,0.42,0.722371247,1.523638179,1.100632412
17394,81,0.41,0.87505761,1.503449494,1.31560492
17395,81,0.47,0.736491306,1.528478725,1.125711293
17396,81,0.37,0.839993945,1.498295687,1.258559304
17397,81,0.5,0.759863658,1.505115733,1.143682747
17398,81,0.46,0.856560151,1.56653095,1.341630858
17399,81,0.5,0.882069763,1.549690387,1.366993537
17400,81,0.41,0.875032871,1.569114735,1.373005549
17401,81,0.44,0.874548559,1.637638536,1.432194421
17402,81,0.52,1.015386324,1.565544268,1.588266491
17403,81,0.47,0.975824227,1.55740656,1.516558395
17404,81,0.47,0.794970755,1.597268267,1.269781561
17405,81,0.51,0.973964382,1.595927966,1.554376995
17406,81,0.41,1.056698113,1.601468002,1.692268216
17407,81,0.44,0.99477595,1.599773804,1.591416505
17408,81,0.46,1.047276053,1.606939472,1.682909228
17409,81,0.44,1.088420057,1.599202538,1.740604118
17410,81,0.56,1.008090994,1.568633796,1.580703024
17411,81,0.28,1.077112905,1.631751504,1.757580602
17412,81,0.48,1.48885348,1.519851121,2.263285943
17413,81,0.49,0.842226466,1.595097959,1.343433717
17414,81,0.45,0.883321202,1.579788189,1.395460403
17415,81,0.41,1.149313467,1.580641319,1.816652355
17416,81,0.49,1.106747837,1.574281134,1.74233224
17417,81,0.49,0.93952348,1.57177626,1.476720702
17418,81,0.38,0.761548593,1.558104659,1.186572411
17419,81,0.37,1.294489332,1.538772066,1.991924024
17420,81,0.42,1.07029039,1.549990526,1.658939965
17421,81,0.54,1.344667771,1.523281123,2.048307031
17422,81,0.44,0.874281487,1.502958063,1.31400841
17423,81,0.52,0.752481111,1.510366317,1.136522124
17424,81,0.49,1.343459014,1.538941521,2.067504859
17425,81,0.5,0.859041994,1.51096022,1.297978281
17426,81,0.47,1.34286825,1.544422269,2.074307499
17427,81,0.42,1.20241478,1.515331188,1.822633727
17428,81,0.47,0.854756428,1.592320538,1.360931584
17429,81,0.46,0.878086264,1.626317203,1.428046797
17430,81,0.4,0.881335077,1.632381015,1.438675782
17431,81,0.43,0.716362093,1.572037563,1.126148119
17432,81,0.42,0.889014335,1.616426928,1.43702671
17433,81,0.52,0.668109422,1.581741012,1.056776073
17434,81,0.52,0.720628845,1.592493974,1.147597093
17435,81,0.54,0.674725728,1.567107492,1.057367744
17436,81,0.44,0.8927493,1.607224932,1.434848932
17437,81,0.54,0.890938653,1.564413438,1.393796401
17438,81,0.47,0.819616526,1.536869821,1.259643905
17439,81,0.37,0.818967869,1.536114057,1.258028056
17440,81,0.41,0.758041115,1.526784575,1.156774323
17441,81,0.49,0.78666017,1.538404233,1.210201335
17442,81,0.49,0.806831333,1.538787982,1.241514061
17443,81,0.54,0.640679443,1.543700904,0.989017435
17444,81,0.55,0.681466325,1.525051588,1.039187135
17445,81,0.54,0.696952285,1.538905646,1.072543806
17446,81,0.48,0.712317135,1.53097659,1.090540858
17447,81,0.44,0.870497698,1.650251404,1.436606213
17448,81,0.42,0.833780928,1.656281866,1.380974127
17449,81,0.45,0.830815093,1.653800936,1.374002778
17450,81,0.52,0.82528352,1.702517092,1.405059298
17451,81,0.51,0.871068591,1.660334801,1.446278006
17452,81,0.44,0.969528177,1.63186867,1.582142656
